token,sentiment_score,is_positive,is_negative,is_neutral_afinn,frequency,log_frequency
superb,5,True,False,False,9.12e-06,-11.605029789025867
loves,3,True,False,False,4.57e-05,-9.993410071882701
flop,-2,False,True,False,3.63e-06,-12.526250361857594
envious,-2,False,True,False,1.66e-06,-13.30863271644638
best damn,4,True,False,False,0.000104,-9.171118697284902
piss,-4,False,True,False,1.48e-05,-11.120876620460274
fucker,-4,False,True,False,4.68e-06,-12.272191080741633
dick,-4,False,True,False,5.01e-05,-9.901487553867463
stimulate,1,True,False,False,4.68e-06,-12.272191080741633
enraged,-2,False,True,False,2.14e-06,-13.054658001050315
dipshit,-3,False,True,False,6.76e-07,-14.206924842849778
exonerate,2,True,False,False,4.07e-07,-14.714206981437478
fucktard,-4,False,True,False,1.32e-07,-15.839706625418131
gr8,3,True,False,False,1.48e-07,-15.725378115672658
ensure,1,True,False,False,5.01e-05,-9.901487553867463
acquit,2,True,False,False,3.8e-07,-14.782831460951208
attraction,2,True,False,False,1.29e-05,-11.258275494688709
better,2,True,False,False,0.000575,-7.461140343253895
astound,3,True,False,False,2.04e-07,-15.404655767130611
hurrah,5,True,False,False,8.71e-07,-13.953509056121565
fainthearted,-2,False,True,False,5.13e-08,-16.78362766448529
empty,-1,False,True,False,3.89e-05,-10.15451373664909
cocksucker,-5,False,True,False,2.75e-07,-15.106131169015882
wtf,-4,False,True,False,1.66e-05,-11.006101838523536
scold,-2,False,True,False,6.46e-07,-14.252311546382291
winner,4,True,False,False,6.31e-05,-9.67078820363231
disgusted,-3,False,True,False,3.72e-06,-12.501760008320096
fabulous,4,True,False,False,1.2e-05,-11.330595574877663
criminate,-3,False,True,False,0.0,-23.025850929940457
intransigency,-2,False,True,False,0.0,-23.025850929940457
bitches,-5,False,True,False,6.92e-06,-11.881080337572056
rape,-4,False,True,False,3.02e-05,-10.407665322330654
bothers,-2,False,True,False,3.55e-06,-12.548534785859605
competitive,2,True,False,False,3.72e-05,-10.199199108516742
wowww,4,True,False,False,3.02e-08,-17.312118124431088
despairs,-3,False,True,False,1.12e-07,-16.003874506868296
increase,1,True,False,False,0.00012,-9.028017981849242
fucking cute,4,True,False,False,3.69e-05,-10.207296296894365
avoids,-1,False,True,False,3.16e-06,-12.664906885296544
victim,-3,False,True,False,3.63e-05,-10.223690061876328
adopts,1,True,False,False,1.82e-06,-13.216619113330049
suspended,-1,False,True,False,2.09e-05,-10.77575661431596
untrue,-2,False,True,False,2.57e-06,-12.871565749308303
balanced,1,True,False,False,1.51e-05,-11.100809191648768
fight,-1,False,True,False,0.00017,-8.67971153267889
legal,1,True,False,False,0.00012,-9.028017981849242
lololol,4,True,False,False,2.45e-07,-15.221599546412344
huge,1,True,False,False,0.000115,-9.070577560036185
brilliant,4,True,False,False,3.55e-05,-10.245975044585462
acrimonious,-3,False,True,False,3.55e-07,-14.850866396997368
mirthfully,3,True,False,False,0.0,-23.025850929940457
popular,3,True,False,False,0.000117,-9.05333576846603
damned,-4,False,True,False,7.41e-06,-11.812666623470685
hideous,-3,False,True,False,2.82e-06,-12.77873821265007
incomplete,-1,False,True,False,7.08e-06,-11.858222526064607
cunt,-5,False,True,False,7.41e-06,-11.812666623470685
fraudsters,-4,False,True,False,4.57e-07,-14.598363651608713
demoralized,-2,False,True,False,4.17e-07,-14.689939835743512
fucking good,4,True,False,False,0.000184,-8.600574256877175
gallantry,3,True,False,False,7.41e-07,-14.115130267989098
terrorizes,-3,False,True,False,1.41e-07,-15.773796978087642
awesome,4,True,False,False,8.32e-05,-9.394262008214756
favourites,2,True,False,False,4.37e-06,-12.3407246658234
rotflol,4,True,False,False,0.0,-23.025850929940457
playful,2,True,False,False,3.39e-06,-12.594651138481915
fuckhead,-4,False,True,False,1.95e-07,-15.449753589317346
miserable,-3,False,True,False,1.17e-05,-11.355913169188542
humourous,2,True,False,False,1.07e-07,-16.04950285949271
arrest,-2,False,True,False,3.55e-05,-10.245975044585462
capabilities,1,True,False,False,1.29e-05,-11.258275494688709
weary,-2,False,True,False,4.07e-06,-12.411842988787038
disjointed,-2,False,True,False,7.59e-07,-14.091132315923689
rapist,-4,False,True,False,4.17e-06,-12.38757054162575
blockbuster,3,True,False,False,3.02e-06,-12.710220614542925
fuckin,-4,False,True,False,2.14e-05,-10.75211496305019
privileged,2,True,False,False,6.46e-06,-11.949865760413415
amazing,4,True,False,False,0.000126,-8.979227857362318
disheartened,-2,False,True,False,5.62e-07,-14.391586066938382
relieves,1,True,False,False,7.76e-07,-14.068984459086318
committing,1,True,False,False,7.59e-06,-11.788665791412962
fucking amazing,4,True,False,False,7.92e-05,-9.443532996518428
cancelling,-1,False,True,False,2.04e-06,-13.102511731701728
heavenly,4,True,False,False,5.75e-06,-12.066293312001894
breathtaking,5,True,False,False,3.98e-06,-12.43420361335543
boycotts,-2,False,True,False,7.59e-07,-14.091132315923689
immune,1,True,False,False,1.38e-05,-11.190834719450558
eviction,-1,False,True,False,2.57e-06,-12.871565749308303
prosecuted,-2,False,True,False,4.07e-06,-12.411842988787038
proactive,2,True,False,False,2.57e-06,-12.871565749308303
disappear,-1,False,True,False,1.23e-05,-11.30590316553765
wonderful,4,True,False,False,7.08e-05,-9.55565014483622
feeble,-2,False,True,False,1.62e-06,-13.33302268223004
haha,3,True,False,False,3.39e-05,-10.292092593729713
fuking,-4,False,True,False,8.32e-08,-16.300817287773615
wealthy,2,True,False,False,1.62e-05,-11.030493142905481
disappointing,-2,False,True,False,1.05e-05,-11.464125777036624
triumph,4,True,False,False,9.12e-06,-11.605029789025867
astounding,3,True,False,False,2.82e-06,-12.77873821265007
fuck,-4,False,True,False,0.000245,-8.314251939256366
pollutes,-2,False,True,False,1.48e-07,-15.725378115672658
exposing,-1,False,True,False,6.03e-06,-12.018746963614761
postponed,-1,False,True,False,5.5e-06,-12.110744284072954
cocksuckers,-5,False,True,False,1.17e-07,-15.96023756634274
appropriately,2,True,False,False,5.5e-06,-12.110744284072954
gold,2,True,False,False,0.000148,-8.818297608524711
niggas,-5,False,True,False,1.35e-06,-13.51533189418321
unconfirmed,-1,False,True,False,1.07e-06,-13.747758455913456
moron,-3,False,True,False,5.62e-06,-12.089161100622672
greenwashers,-3,False,True,False,0.0,-23.025850929940457
contending,-1,False,True,False,1.1e-06,-13.72010947320102
supreme,4,True,False,False,4.9e-05,-9.923688219039404
looming,-1,False,True,False,1.95e-06,-13.147629904652216
promised,1,True,False,False,3.09e-05,-10.384751137819856
disappears,-1,False,True,False,4.68e-06,-12.272191080741633
pretending,-1,False,True,False,1.15e-05,-11.373154826980702
horrid,-3,False,True,False,1.91e-06,-13.168354961255321
escaping,-1,False,True,False,5.37e-06,-12.134664027642959
sedition,-2,False,True,False,1.1e-06,-13.72010947320102
active,1,True,False,False,8.51e-05,-9.371682347297504
bankruptcy,-3,False,True,False,1.29e-05,-11.258275494688709
overwrought,-3,False,True,False,2.95e-07,-15.035951554997517
infected,-2,False,True,False,1.35e-05,-11.212813465139918
guilt,-3,False,True,False,1.35e-05,-11.212813465139918
disconsolation,-2,False,True,False,0.0,-23.025850929940457
exuberant,4,True,False,False,9.33e-07,-13.884753460706435
distrustful,-3,False,True,False,3.98e-07,-14.73656260694014
goodmorning,1,True,False,False,1e-07,-16.117096150625237
liar,-3,False,True,False,1.05e-05,-11.464125777036624
torture,-4,False,True,False,1.41e-05,-11.169328668406719
fraud,-4,False,True,False,2.34e-05,-10.662770262105477
devastate,-2,False,True,False,4.17e-07,-14.689939835743512
bad luck,-2,False,True,False,6.56e-05,-9.63193333762515
harass,-3,False,True,False,1.91e-06,-13.168354961255321
suspected,-1,False,True,False,1.41e-05,-11.169328668406719
fame,1,True,False,False,2.19e-05,-10.7290193549422
supporter,1,True,False,False,1.17e-05,-11.355913169188542
terrific,4,True,False,False,7.94e-06,-11.7435846883261
amusement,3,True,False,False,5.5e-06,-12.110744284072954
distorting,-2,False,True,False,7.76e-07,-14.068984459086318
litigious,-2,False,True,False,2.63e-07,-15.150731648900164
explorations,1,True,False,False,1.26e-06,-13.584319475070764
crimes,-3,False,True,False,2.69e-05,-10.523380553891272
awarded,3,True,False,False,2.24e-05,-10.706445134827531
disabling,-1,False,True,False,1.51e-06,-13.403334684164667
praising,3,True,False,False,3.98e-06,-12.43420361335543
masterpiece,4,True,False,False,6.46e-06,-11.949865760413415
suave,2,True,False,False,7.94e-07,-14.046056439045246
goodwill,3,True,False,False,4.68e-06,-12.272191080741633
limited,-1,False,True,False,0.000105,-9.161549255426252
alert,-1,False,True,False,2.14e-05,-10.75211496305019
fucking fantastic,4,True,False,False,4.14e-05,-10.092227261676985
blissful,3,True,False,False,1e-06,-13.81541056296394
well-being,2,True,False,False,0.000487,-7.627246229542896
slash,-2,False,True,False,4.47e-06,-12.31809977822438
shithead,-4,False,True,False,7.08e-07,-14.160680510288683
nigger,-5,False,True,False,2.24e-06,-13.008990050236646
enchanted,2,True,False,False,2.75e-06,-12.80387328331057
admit,-1,False,True,False,3.8e-05,-10.177921766662404
audacious,3,True,False,False,8.91e-07,-13.930809182327737
enraging,-2,False,True,False,1.58e-07,-15.660038092730984
hid,-1,False,True,False,6.17e-06,-11.995795512722887
victories,3,True,False,False,6.76e-06,-11.904472875119406
spirited,2,True,False,False,3.55e-06,-12.548534785859605
interruption,-2,False,True,False,2.29e-06,-12.98691507322928
wins,4,True,False,False,5.01e-05,-9.901487553867463
fervid,2,True,False,False,5.89e-08,-16.64572839304069
wow,4,True,False,False,9.12e-05,-9.302454564393361
vividly,2,True,False,False,1.82e-06,-13.216619113330049
damn good,4,True,False,False,0.000113,-9.088121854296572
solemn,-1,False,True,False,2.57e-06,-12.871565749308303
affectionate,3,True,False,False,2.24e-06,-13.008990050236646
speculative,-2,False,True,False,3.24e-06,-12.639906364438795
awaits,-1,False,True,False,3.55e-06,-12.548534785859605
false,-1,False,True,False,4.27e-05,-10.061309295812062
beating,-1,False,True,False,2.69e-05,-10.523380553891272
fantastic,4,True,False,False,5.13e-05,-9.877817856471712
bitch,-5,False,True,False,5.75e-05,-9.763723871032047
responsibility,1,True,False,False,5.62e-05,-9.786592021706781
threats,-2,False,True,False,1.91e-05,-10.865816987323301
enjoys,2,True,False,False,8.51e-06,-11.674256864566717
sobering,1,True,False,False,7.94e-07,-14.046056439045246
shrew,-4,False,True,False,5.62e-07,-14.391586066938382
disqualified,-2,False,True,False,2.75e-06,-12.80387328331057
grand,3,True,False,False,8.13e-05,-9.417363311398965
lighthearted,1,True,False,False,7.24e-07,-14.138336332551637
unmatched,1,True,False,False,1.35e-06,-13.51533189418321
successful,3,True,False,False,8.71e-05,-9.34845252600085
riveting,3,True,False,False,9.77e-07,-13.838676835996115
distorts,-2,False,True,False,5.25e-07,-14.459677116302597
slavery,-3,False,True,False,1.62e-05,-11.030493142905481
enthral,3,True,False,False,3.98e-08,-17.036889513050593
fuckers,-4,False,True,False,2.75e-06,-12.80387328331057
victimize,-3,False,True,False,1.74e-07,-15.563635990172267
lmao,4,True,False,False,1.91e-05,-10.865816987323301
violence-related,-3,False,True,False,3.89e-05,-10.15451373664909
stimulates,1,True,False,False,1.38e-06,-13.493354597652417
attract,1,True,False,False,1.58e-05,-11.055494288837458
bullying,-2,False,True,False,9.33e-06,-11.582264825048847
gun,-1,False,True,False,9.12e-05,-9.302454564393361
blesses,2,True,False,False,4.07e-07,-14.714206981437478
wtfff,-4,False,True,False,1.48e-08,-18.021904623995
terrifically,4,True,False,False,1.66e-07,-15.610675820327161
atrocious,-3,False,True,False,1.38e-06,-13.493354597652417
adventurous,2,True,False,False,3.02e-06,-12.710220614542925
worst,-3,False,True,False,8.51e-05,-9.371682347297504
supporters,1,True,False,False,2.88e-05,-10.45513169860618
gloom,-1,False,True,False,2.04e-06,-13.102511731701728
lunatics,-3,False,True,False,9.33e-07,-13.884753460706435
haunt,-1,False,True,False,3.47e-06,-12.571327145976946
prick,-5,False,True,False,3.98e-06,-12.43420361335543
dickhead,-4,False,True,False,1.78e-06,-13.238841015463024
damnit,-4,False,True,False,1.17e-06,-13.6584213427215
afflicted,-1,False,True,False,1.95e-06,-13.147629904652216
expel,-2,False,True,False,1.82e-06,-13.216619113330049
excellence,3,True,False,False,1.17e-05,-11.355913169188542
thank,2,True,False,False,0.000302,-8.105083209463631
reaching,1,True,False,False,2.88e-05,-10.45513169860618
loathed,-3,False,True,False,5.25e-07,-14.459677116302597
frauds,-4,False,True,False,1.07e-06,-13.747758455913456
desire,1,True,False,False,4.07e-05,-10.109280008516286
secures,2,True,False,False,1.32e-06,-13.537803066659697
praise,3,True,False,False,2.04e-05,-10.799970755165333
pileup,-1,False,True,False,2e-07,-15.424448595356724
jackasses,-4,False,True,False,2.24e-07,-15.31117345613953
devoted,3,True,False,False,1.51e-05,-11.100809191648768
capable,1,True,False,False,4.07e-05,-10.109280008516286
like,2,True,False,False,0.00257,-5.9638493411645035
gallant,3,True,False,False,1.62e-06,-13.33302268223004
cock,-5,False,True,False,1.7e-05,-10.982291331572418
appease,2,True,False,False,1.58e-06,-13.358022421788958
rejoicing,4,True,False,False,9.33e-07,-13.884753460706435
irritates,-3,False,True,False,6.92e-07,-14.183535383098594
engrossed,1,True,False,False,6.17e-07,-14.29823475161939
miracle,4,True,False,False,1.35e-05,-11.212813465139918
want,1,True,False,False,0.0011,-6.812445008268726
litigation,-1,False,True,False,8.51e-06,-11.674256864566717
corrupt,-3,False,True,False,1.38e-05,-11.190834719450558
attracts,1,True,False,False,4.27e-06,-12.363873311794219
arsehole,-4,False,True,False,6.31e-07,-14.275801508356217
tortured,-4,False,True,False,6.03e-06,-12.018746963614761
tortures,-4,False,True,False,6.92e-07,-14.183535383098594
reliant,2,True,False,False,2.57e-06,-12.871565749308303
kind of,0,False,False,True,0.000279,-8.184298417720033
godsend,4,True,False,False,6.03e-07,-14.32118281648947
torturing,-4,False,True,False,1.7e-06,-13.284823485102727
mirth,3,True,False,False,4.17e-07,-14.689939835743512
accepts,1,True,False,False,7.59e-06,-11.788665791412962
daring,2,True,False,False,5.01e-06,-12.20405468298686
careful,2,True,False,False,3.89e-05,-10.15451373664909
silly,-1,False,True,False,2.45e-05,-10.61683335878927
fucking beautiful,4,True,False,False,9.34e-05,-9.27861814206624
repellent,-2,False,True,False,8.71e-07,-13.953509056121565
bad,-3,False,True,False,0.000339,-7.989510155598617
polluter,-2,False,True,False,1.7e-07,-15.586879337544595
deformed,-2,False,True,False,1.62e-06,-13.33302268223004
motherfucker,-5,False,True,False,4.07e-06,-12.411842988787038
despondent,-3,False,True,False,4.79e-07,-14.551356493057336
son-of-a-bitch,-5,False,True,False,4.4e-05,-10.031318651321323
affronted,-1,False,True,False,1.41e-07,-15.773796978087642
fraudster,-4,False,True,False,3.09e-07,-14.989600987808341
overjoyed,4,True,False,False,9.33e-07,-13.884753460706435
joy,3,True,False,False,3.55e-05,-10.245975044585462
wishes,1,True,False,False,2.24e-05,-10.706445134827531
responsible,2,True,False,False,7.59e-05,-9.486092556040502
worshiped,3,True,False,False,7.94e-07,-14.046056439045246
exploration,1,True,False,False,1.55e-05,-11.074664082446981
spark,1,True,False,False,9.77e-06,-11.53618385654743
expands,1,True,False,False,3.8e-06,-12.480483175788715
medal,3,True,False,False,2.45e-05,-10.61683335878927
woow,4,True,False,False,3.47e-08,-17.17364845016598
notable,2,True,False,False,1.17e-05,-11.355913169188542
lifesaver,4,True,False,False,7.59e-07,-14.091132315923689
triumphant,4,True,False,False,2.34e-06,-12.965316894465046
prosperous,3,True,False,False,3.98e-06,-12.43420361335543
elegant,2,True,False,False,8.91e-06,-11.628325093199981
some kind,0,False,False,True,0.000239,-8.339046587622809
dragged,-1,False,True,False,1e-05,-11.512915465020228
jackass,-4,False,True,False,2.14e-06,-13.054658001050315
forgive,1,True,False,False,1.78e-05,-10.936306482704488
manipulating,-1,False,True,False,2.82e-06,-12.77873821265007
admired,3,True,False,False,5.25e-06,-12.157263433923097
clarity,2,True,False,False,7.94e-06,-11.7435846883261
vomit,-3,False,True,False,3.39e-06,-12.594651138481915
wtff,-4,False,True,False,1.2e-08,-18.230060384343716
bastards,-5,False,True,False,4.27e-06,-12.363873311794219
ass,-4,False,True,False,0.0001,-9.210339371976684
worry,-3,False,True,False,6.92e-05,-9.57850825025499
promptly,1,True,False,False,6.92e-06,-11.881080337572056
pissed,-4,False,True,False,1.78e-05,-10.936306482704488
discernment,2,True,False,False,6.17e-07,-14.29823475161939
horrified,-3,False,True,False,2.69e-06,-12.8259321903203
scumbag,-4,False,True,False,2.09e-06,-13.078298646242228
strengthen,2,True,False,False,1.1e-05,-11.417606194298134
pray,1,True,False,False,2.51e-05,-10.592638727770726
slut,-5,False,True,False,5.75e-06,-12.066293312001894
amused,3,True,False,False,3.39e-06,-12.594651138481915
plague,-3,False,True,False,7.76e-06,-11.76651533725424
supportive,2,True,False,False,1.12e-05,-11.399587851131656
mischiefs,-1,False,True,False,3.63e-08,-17.128697062303715
delight,3,True,False,False,9.33e-06,-11.582264825048847
roflmao,4,True,False,False,4.79e-08,-16.85206482603852
ache,-2,False,True,False,2.69e-06,-12.8259321903203
benevolent,3,True,False,False,2.19e-06,-13.03156335307789
fucking loves,4,True,False,False,3.77e-05,-10.185847810993932
magnificent,3,True,False,False,1.1e-05,-11.417606194298134
validated,1,True,False,False,2.4e-06,-12.94000015481174
fucking,-4,False,True,False,0.000214,-8.449534075652812
fuked,-4,False,True,False,1.66e-08,-17.9078571175237
overweight,-1,False,True,False,5.5e-06,-12.110744284072954
uncertain,-1,False,True,False,9.77e-06,-11.53618385654743
outstanding,5,True,False,False,3.16e-05,-10.362350272819453
lapse,-1,False,True,False,3.09e-06,-12.687307105118727
discounted,-1,False,True,False,3.8e-06,-12.480483175788715
fucked,-4,False,True,False,3.89e-05,-10.15451373664909
shit,-4,False,True,False,0.000302,-8.105083209463631
wowow,4,True,False,False,6.76e-08,-16.508179657028183
unified,1,True,False,False,7.41e-06,-11.812666623470685
swift,2,True,False,False,1.41e-05,-11.169328668406719
raped,-4,False,True,False,1.2e-05,-11.330595574877663
rigorously,3,True,False,False,1e-06,-13.81541056296394
underestimate,-1,False,True,False,4.9e-06,-12.226254944892672
harmony,2,True,False,False,1.29e-05,-11.258275494688709
parley,-1,False,True,False,4.07e-07,-14.714206981437478
perfect,3,True,False,False,0.000158,-8.752914892026116
rofl,4,True,False,False,6.92e-07,-14.183535383098594
devotion,2,True,False,False,5.37e-06,-12.134664027642959
award,3,True,False,False,7.59e-05,-9.486092556040502
overreact,-2,False,True,False,6.61e-07,-14.229360722606879
embarrassed,-2,False,True,False,1.12e-05,-11.399587851131656
accusation,-2,False,True,False,3.98e-06,-12.43420361335543
fucking love,4,True,False,False,0.000162,-8.72791360544813
terror,-3,False,True,False,1.82e-05,-10.914083469391125
rotflmfao,4,True,False,False,0.0,-23.025850929940457
murdering,-3,False,True,False,5.25e-06,-12.157263433923097
lucky,3,True,False,False,5.89e-05,-9.739667769515306
fit,1,True,False,False,8.91e-05,-9.325750101153684
harsh,-2,False,True,False,1.38e-05,-11.190834719450558
thrilled,5,True,False,False,8.71e-06,-11.651027286109512
fraudulence,-4,False,True,False,3.55e-08,-17.150920199088425
blocked,-1,False,True,False,2.04e-05,-10.799970755165333
abusing,-3,False,True,False,4.17e-06,-12.38757054162575
tyrannic,-3,False,True,False,1.7e-08,-17.884187373437797
salvation,2,True,False,False,8.91e-06,-11.628325093199981
funny,4,True,False,False,0.000105,-9.161549255426252
illegal,-3,False,True,False,4.79e-05,-9.946392965866911
